role_code,count
Suppleant,14737
Riksdagsledamot,6051
Ledamot,6013
Ersättare,932
Deputerad,918
Extra suppleant,478
Ordförande,434
Vice ordförande,407
Statsrådsersättare,295
Statsråd,259
Förste vice gruppledare,79
Kvittningsperson,74
Gruppledare,71
Personlig suppleant,54
Förste vice ordförande,38
Andre vice ordförande,36
Partisekreterare,27
Partiledare,22
Utrikesminister,20
Försvarsminister,19
Utbildningsminister,18
Arbetsmarknadsminister,15
Socialminister,15
Finansminister,14
Revisor,14
Revisorssuppleant,13
Talman,12
Talmansersättare,12
Landsbygdsminister,11
Näringsminister,11
Personlig ersättare,11
Andre vice gruppledare,10
Kultur- och demokratiminister,10
Statsminister,10
Språkrör,9
Förste vice talman,8
Infrastrukturminister,8
Justitieminister,8
Kulturminister,8
Klimat- och miljöminister,7
Tredje vice talman,7
Andre vice talman,6
Miljöminister,6
Tredje vice ordförande,5
Justitie- och migrationsminister,4
Miljö- och klimatminister,4
Socialtjänstminister,4
Energi- och näringsminister,3
Närings- och innovationsminister,3
Äldre- och socialförsäkringsminister,2
Arbetsmarknads- och integrationsminister,2
Arbetsmarknads- och jämställdhetsministe,2
Bistånds- och utrikeshandelsminister,2
Civilminister,2
EU-minister,2
Finansmarknadsminister,2
"Gymnasie-, högskole- och forskningsminister",2
Infrastruktur- och bostadsminister,2
Infrastruktur- och försvarsminister,2
Jämställdhetsminister,2
Jordbruksminister,2
Justitie- och inrikesminister,2
Migrationsminister,2
Migrations- och arbetsmarknadsminister,2
Minister för civilt försvar,2
Samhällsbyggnadsminister,2
Socialförsäkringsminister,2
Tillförordnad partisekreterare,2
Utbildnings- och integrationsminister,2
Arbetsmarknads- och etableringsminister,1
Integrations- och jämställdhetsminister,1
Kultur- och idrottsminister,1
Sjukvårdsminister,1
Social- och socialförsäkringsminister,1
Tillförordnad partiledare,1
Utbildnings- och integrations­minister,1
Vice statsminister,1
