year,documents_produced,motions_filed,proposals_filed
2002,3741,3564,148
2010,3888,3368,242
2018,3815,3211,254
2014,4956,4242,264
2005,4955,4672,178
2006,4533,2757,183
2016,4209,3647,218
2021,5185,4568,247
2003,4097,3898,199
2022,3422,2725,277
2008,4485,3941,223
2017,4691,4072,219
2015,3856,3354,197
2013,3714,3128,237
2012,3826,2729,441
2004,4318,4115,203
2020,4538,3946,206
2023,3395,2887,187
2007,3944,3529,140
2019,4129,3533,198
2009,4596,4017,225
2024,3979,3421,211
2025,4617,4020,217
2011,3659,3325,223
2026,145,32,13
