column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
total_violations,bigint,14,0,13,0,0,3,5,7,9,12
absenteeism_violations,bigint,9,0,8,0,0,1,2,4,6,8
effectiveness_violations,bigint,3,0,2,0,0,1,1,1,1,1
discipline_violations,bigint,2,0,1,0,0,0,0,1,1,1
productivity_violations,bigint,2,0,1,0,0,0,0,0,1,1
collaboration_violations,bigint,2,0,1,0,0,0,0,0,0,1
annual_absence_rate,numeric,215,0,79.61,0,0,3.41,10.09,15.65,21.44,37.4652
annual_rebel_rate,numeric,35,0.00,35.12,0,0,0,0,0.12,0.314,14.52
annual_vote_count,bigint,58,0,971,0,0,847,971,971,971,971
documents_last_year,bigint,2,0,1,0,0,0,0,0,0,1
risk_score,numeric,311,10.00,47.31,10,10,18.86,23.78,27.71,32.442,40.2652
