embedded_id_page,embedded_id_page_mode,embedded_id_created_date,hits,rank_percentage,rank
parliamentranking,RULES,2025-01-01 00:00:00,1,0.6206896551724138,19
userhome,OVERVIEW,2025-01-01 00:00:00,23,0.13793103448275862,5
ministry,GOVERNMENT_BODIES_EXPENDITURE,2025-01-01 00:00:00,1,0.6206896551724138,19
parliamentranking,CHARTS/DECISION_FLOW_CHART,2025-01-01 00:00:00,4,0.27586206896551724,9
ministryranking,Overview,2025-01-01 00:00:00,1,0.6206896551724138,19
politician,OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
governmentbodyranking,CHARTS,2025-01-01 00:00:00,3,0.3448275862068966,11
documents,OVERVIEW,2025-01-01 00:00:00,5,0.20689655172413793,7
partyranking,OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
ministry,GOVERNMENT_BODIES_HEADCOUNT,2025-01-01 00:00:00,1,0.6206896551724138,19
ministryranking,CHARTS,2025-01-01 00:00:00,6,0.1724137931034483,6
dashboard,OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
parliamentranking,OVERVIEW,2025-01-01 00:00:00,2,0.41379310344827586,13
parliamentranking,CHARTS/COALITION_PREDICTION,2025-01-01 00:00:00,1,0.6206896551724138,19
parliamentranking,Overview,2025-01-01 00:00:00,1,0.6206896551724138,19
parliamentranking,CHARTSDECISION_FLOW_CHART[],2025-01-01 00:00:00,2,0.41379310344827586,13
adminapplicationsession,"",2025-01-01 00:00:00,1,0.6206896551724138,19
UserHomeView,!userhome/OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
governmentbodyranking,OVERVIEW,2025-01-01 00:00:00,2,0.41379310344827586,13
adminapplicationevents,"",2025-01-01 00:00:00,5,0.20689655172413793,7
adminapplicationconfiguration,"",2025-01-01 00:00:00,1,0.6206896551724138,19
adminagency,"",2025-01-01 00:00:00,2,0.41379310344827586,13
partyranking,CHARTS,2025-01-01 00:00:00,4,0.27586206896551724,9
main,Overview,2025-01-01 00:00:00,49,0.034482758620689655,2
adminagentoperation,"",2025-01-01 00:00:00,26,0.06896551724137931,3
main,OVERVIEW,2025-01-01 00:00:00,25,0.10344827586206896,4
countryranking,INDICATORS,2025-01-01 00:00:00,3,0.3448275862068966,11
AdminMonitoringView,!adminmonitoring,2025-01-01 00:00:00,2,0.41379310344827586,13
politicianranking,Overview,2025-01-01 00:00:00,2,0.41379310344827586,13
adminmonitoring,"",2025-01-01 00:00:00,59,0,1
