embedded_id_page,embedded_id_page_mode,embedded_id_created_date,hits,rank_percentage,rank
partyranking,OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
parliamentranking,CHARTS/DECISION_FLOW_CHART,2025-01-01 00:00:00,4,0.27586206896551724,9
parliamentranking,CHARTS/COALITION_PREDICTION,2025-01-01 00:00:00,1,0.6206896551724138,19
adminapplicationevents,"",2025-01-01 00:00:00,5,0.20689655172413793,7
AdminMonitoringView,!adminmonitoring,2025-01-01 00:00:00,2,0.41379310344827586,13
ministryranking,CHARTS,2025-01-01 00:00:00,6,0.1724137931034483,6
governmentbodyranking,OVERVIEW,2025-01-01 00:00:00,2,0.41379310344827586,13
ministry,GOVERNMENT_BODIES_EXPENDITURE,2025-01-01 00:00:00,1,0.6206896551724138,19
politicianranking,Overview,2025-01-01 00:00:00,2,0.41379310344827586,13
parliamentranking,CHARTSDECISION_FLOW_CHART[],2025-01-01 00:00:00,2,0.41379310344827586,13
dashboard,OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
main,Overview,2025-01-01 00:00:00,53,0.034482758620689655,2
politician,OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
ministry,GOVERNMENT_BODIES_HEADCOUNT,2025-01-01 00:00:00,1,0.6206896551724138,19
adminapplicationconfiguration,"",2025-01-01 00:00:00,1,0.6206896551724138,19
parliamentranking,RULES,2025-01-01 00:00:00,1,0.6206896551724138,19
UserHomeView,!userhome/OVERVIEW,2025-01-01 00:00:00,1,0.6206896551724138,19
ministryranking,Overview,2025-01-01 00:00:00,1,0.6206896551724138,19
adminapplicationsession,"",2025-01-01 00:00:00,1,0.6206896551724138,19
userhome,OVERVIEW,2025-01-01 00:00:00,24,0.13793103448275862,5
partyranking,CHARTS,2025-01-01 00:00:00,4,0.27586206896551724,9
countryranking,INDICATORS,2025-01-01 00:00:00,3,0.3448275862068966,11
parliamentranking,OVERVIEW,2025-01-01 00:00:00,2,0.41379310344827586,13
adminagency,"",2025-01-01 00:00:00,2,0.41379310344827586,13
governmentbodyranking,CHARTS,2025-01-01 00:00:00,3,0.3448275862068966,11
adminagentoperation,"",2025-01-01 00:00:00,27,0.06896551724137931,3
adminmonitoring,"",2025-01-01 00:00:00,60,0,1
main,OVERVIEW,2025-01-01 00:00:00,25,0.10344827586206896,4
documents,OVERVIEW,2025-01-01 00:00:00,5,0.20689655172413793,7
parliamentranking,Overview,2025-01-01 00:00:00,1,0.6206896551724138,19
