party,anomaly_classification,politician_count,avg_rebellions
-,CONSISTENT_REBEL,2,273.50
-,MODERATE_REBEL,13,79.62
-,OCCASIONAL_REBEL,8,9.63
C,FREQUENT_STRONG_REBEL,1,19.00
C,CONSISTENT_REBEL,3,31.00
C,MODERATE_REBEL,17,32.53
C,OCCASIONAL_REBEL,34,10.82
C,PARTY_ALIGNED,24,2.17
FP,CONSISTENT_REBEL,3,40.33
FP,MODERATE_REBEL,14,29.43
FP,OCCASIONAL_REBEL,12,14.75
FP,PARTY_ALIGNED,5,3.00
KD,CONSISTENT_REBEL,5,55.40
KD,MODERATE_REBEL,20,25.15
KD,OCCASIONAL_REBEL,29,12.31
KD,PARTY_ALIGNED,18,2.06
L,CONSISTENT_REBEL,2,49.50
L,MODERATE_REBEL,20,29.75
L,OCCASIONAL_REBEL,14,12.50
L,PARTY_ALIGNED,14,1.71
M,FREQUENT_STRONG_REBEL,3,36.67
M,CONSISTENT_REBEL,10,30.40
M,MODERATE_REBEL,33,26.00
M,OCCASIONAL_REBEL,95,11.17
M,PARTY_ALIGNED,53,2.00
MP,FREQUENT_STRONG_REBEL,2,74.00
MP,CONSISTENT_REBEL,10,76.90
MP,MODERATE_REBEL,30,36.23
MP,OCCASIONAL_REBEL,22,10.09
MP,PARTY_ALIGNED,26,2.08
S,FREQUENT_STRONG_REBEL,2,67.50
S,CONSISTENT_REBEL,31,45.52
S,MODERATE_REBEL,103,34.98
S,OCCASIONAL_REBEL,70,10.03
S,PARTY_ALIGNED,135,2.17
SD,FREQUENT_STRONG_REBEL,1,51.00
SD,CONSISTENT_REBEL,2,31.00
SD,MODERATE_REBEL,14,30.07
SD,OCCASIONAL_REBEL,45,10.18
SD,PARTY_ALIGNED,35,2.49
V,FREQUENT_STRONG_REBEL,1,33.00
V,CONSISTENT_REBEL,6,60.17
V,MODERATE_REBEL,34,35.62
V,OCCASIONAL_REBEL,30,12.63
V,PARTY_ALIGNED,13,2.15
