party,anomaly_classification,politician_count,avg_rebellions
-,CONSISTENT_REBEL,2,287.50
-,MODERATE_REBEL,13,94.85
-,OCCASIONAL_REBEL,8,9.75
C,FREQUENT_STRONG_REBEL,1,19.00
C,CONSISTENT_REBEL,3,31.33
C,MODERATE_REBEL,17,32.29
C,OCCASIONAL_REBEL,34,11.00
C,PARTY_ALIGNED,24,2.17
FP,CONSISTENT_REBEL,3,40.33
FP,MODERATE_REBEL,14,29.43
FP,OCCASIONAL_REBEL,12,14.75
FP,PARTY_ALIGNED,5,3.00
KD,CONSISTENT_REBEL,5,55.40
KD,MODERATE_REBEL,20,25.15
KD,OCCASIONAL_REBEL,29,12.31
KD,PARTY_ALIGNED,18,2.06
L,CONSISTENT_REBEL,2,49.50
L,MODERATE_REBEL,20,29.75
L,OCCASIONAL_REBEL,14,12.50
L,PARTY_ALIGNED,14,1.71
M,FREQUENT_STRONG_REBEL,3,36.67
M,CONSISTENT_REBEL,10,30.40
M,MODERATE_REBEL,33,26.00
M,OCCASIONAL_REBEL,95,11.18
M,PARTY_ALIGNED,54,1.98
MP,FREQUENT_STRONG_REBEL,2,74.00
MP,CONSISTENT_REBEL,10,76.60
MP,MODERATE_REBEL,30,36.20
MP,OCCASIONAL_REBEL,22,10.14
MP,PARTY_ALIGNED,26,2.12
S,FREQUENT_STRONG_REBEL,2,67.50
S,CONSISTENT_REBEL,32,45.63
S,MODERATE_REBEL,102,34.89
S,OCCASIONAL_REBEL,71,9.97
S,PARTY_ALIGNED,134,2.18
SD,FREQUENT_STRONG_REBEL,1,51.00
SD,CONSISTENT_REBEL,2,31.00
SD,MODERATE_REBEL,14,30.14
SD,OCCASIONAL_REBEL,45,10.18
SD,PARTY_ALIGNED,35,2.49
V,FREQUENT_STRONG_REBEL,1,33.00
V,CONSISTENT_REBEL,6,60.17
V,MODERATE_REBEL,34,35.62
V,OCCASIONAL_REBEL,30,12.73
V,PARTY_ALIGNED,13,2.15
