party,anomaly_classification,politician_count,avg_rebellions
-,CONSISTENT_REBEL,2,238.00
-,MODERATE_REBEL,12,64.33
-,OCCASIONAL_REBEL,5,8.80
C,FREQUENT_STRONG_REBEL,1,19.00
C,CONSISTENT_REBEL,3,30.33
C,MODERATE_REBEL,17,32.29
C,OCCASIONAL_REBEL,33,11.12
C,PARTY_ALIGNED,25,2.24
FP,CONSISTENT_REBEL,3,40.33
FP,MODERATE_REBEL,14,29.43
FP,OCCASIONAL_REBEL,12,14.75
FP,PARTY_ALIGNED,5,3.00
KD,CONSISTENT_REBEL,5,55.40
KD,MODERATE_REBEL,20,25.15
KD,OCCASIONAL_REBEL,29,12.31
KD,PARTY_ALIGNED,18,2.06
L,CONSISTENT_REBEL,2,49.50
L,MODERATE_REBEL,20,29.75
L,OCCASIONAL_REBEL,14,12.50
L,PARTY_ALIGNED,14,1.71
M,FREQUENT_STRONG_REBEL,3,36.67
M,CONSISTENT_REBEL,10,30.40
M,MODERATE_REBEL,33,26.00
M,OCCASIONAL_REBEL,96,11.13
M,PARTY_ALIGNED,54,2.00
MP,FREQUENT_STRONG_REBEL,2,74.00
MP,CONSISTENT_REBEL,10,76.70
MP,MODERATE_REBEL,29,36.72
MP,OCCASIONAL_REBEL,23,10.22
MP,PARTY_ALIGNED,26,2.04
S,FREQUENT_STRONG_REBEL,2,67.50
S,CONSISTENT_REBEL,29,47.62
S,MODERATE_REBEL,103,34.96
S,OCCASIONAL_REBEL,71,10.08
S,PARTY_ALIGNED,136,2.15
SD,FREQUENT_STRONG_REBEL,1,51.00
SD,CONSISTENT_REBEL,2,31.00
SD,MODERATE_REBEL,14,30.14
SD,OCCASIONAL_REBEL,46,10.11
SD,PARTY_ALIGNED,35,2.49
V,FREQUENT_STRONG_REBEL,1,33.00
V,CONSISTENT_REBEL,6,60.17
V,MODERATE_REBEL,34,35.56
V,OCCASIONAL_REBEL,31,12.61
V,PARTY_ALIGNED,13,2.08
