committee_name,total_documents,propositions_count,reports_count,total_members,docs_per_member,productivity_level
Konstitutionsutskottet,69,1,66,47,0.87,HIGHLY_PRODUCTIVE
Civilutskottet,63,0,63,45,0.91,HIGHLY_PRODUCTIVE
Miljö- och jordbruksutskottet,52,0,52,47,0.68,HIGHLY_PRODUCTIVE
Näringsutskottet,51,3,48,45,0.60,HIGHLY_PRODUCTIVE
Trafikutskottet,43,2,41,46,0.52,HIGHLY_PRODUCTIVE
Utrikesutskottet,36,2,34,50,0.36,PRODUCTIVE
Arbetsmarknadsutskottet,27,1,26,44,0.32,BELOW_AVERAGE
Försvarsutskottet,0,0,0,48,0.00,INACTIVE
Socialförsäkringsutskottet,0,0,0,44,0.00,INACTIVE
Justitieutskottet,0,0,0,45,0.00,INACTIVE
Socialutskottet,0,0,0,0,0.00,INACTIVE
Bostadsutskottet,0,0,0,0,0.00,INACTIVE
Sammansatta civil- och kulturutskottet,0,0,0,0,0.00,INACTIVE
EES-utskottet,0,0,0,0,0.00,INACTIVE
Sammansatta justitie- och socialutskottet,0,0,0,0,0.00,INACTIVE
Sammansatta konstitutions- och utrikesutskottet,0,0,0,0,0.00,INACTIVE
Lagutskottet,0,0,0,0,0.00,INACTIVE
Riksdagen,0,0,0,0,0.00,INACTIVE
Riksdagen,0,0,0,0,0.00,INACTIVE
Riksdagen,0,0,0,0,0.00,INACTIVE
Sammansatta utrikes- och försvarsutskottet,0,0,0,0,0.00,INACTIVE
"Sammansatta utrikes-, miljö- och jordbruksutskottet",0,0,0,0,0.00,INACTIVE
Sammansatta utrikes- och socialutskottet,0,0,0,0,0.00,INACTIVE
Riksdagen,0,0,0,0,0.00,INACTIVE
Näringsutskottet,0,0,0,0,0.00,INACTIVE
Skatteutskottet,0,0,0,0,0.00,INACTIVE
Socialutskottet,0,0,0,44,0.00,INACTIVE
EU-nämnden,0,0,0,100,0.00,INACTIVE
Kulturutskottet,0,0,0,45,0.00,INACTIVE
Skatteutskottet,0,0,0,45,0.00,INACTIVE
Utbildningsutskottet,0,0,0,44,0.00,INACTIVE
Finansutskottet,0,0,0,47,0.00,INACTIVE
