year,is_election_year,total_ballots,active_politicians,attendance_rate,avg_yes_rate,avg_no_rate,avg_abstain_rate,documents_produced,motions_filed,proposals_filed,election_median_ballots,election_avg_ballots,election_stddev_ballots,midterm_avg_ballots,election_median_docs,election_avg_docs,midterm_avg_docs,election_median_motions,election_avg_motions,midterm_avg_motions,election_avg_attendance,midterm_avg_attendance,ballot_z_score,document_z_score,motion_z_score,attendance_z_score,year_classification,ballot_assessment,legislative_assessment
2017,f,498,385,86.19,62.74,17.68,5.77,4691,4072,219,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.95,0.96,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2016,f,433,374,87.87,65.68,16.47,5.71,4209,3647,218,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.10,-0.05,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2008,f,385,369,82.50,53.52,26.16,2.82,4485,3941,223,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.87,0.53,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2014,t,387,500,87.18,63.36,18.38,5.44,4956,4242,264,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.03,0.99,1.07,0.71,ELECTION_YEAR,BELOW_ELECTION_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2021,f,557,386,23.52,16.46,5.20,1.85,5185,4568,247,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,1.90,2.00,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2009,f,350,373,82.34,51.26,28.91,2.17,4596,4017,225,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-1.43,0.76,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2023,f,389,373,85.94,59.53,17.69,8.72,3395,2887,187,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.80,-1.76,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,NORMAL_LEGISLATIVE_ACTIVITY
2018,t,520,493,85.64,62.91,16.47,6.26,3815,3211,254,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.68,0.18,0.27,0.18,ELECTION_YEAR,ABOVE_ELECTION_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2019,f,461,376,89.81,63.07,16.66,10.08,4129,3533,198,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.35,-0.22,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2012,f,457,382,88.41,64.46,18.76,5.19,3826,2729,441,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.29,-0.85,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,NORMAL_LEGISLATIVE_ACTIVITY
2005,f,435,372,81.76,56.39,20.56,4.81,4955,4672,178,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.06,1.51,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2003,f,501,374,85.49,61.71,18.26,5.52,4097,3898,199,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,1.00,-0.29,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2010,t,315,488,85.25,53.73,29.68,1.84,3888,3368,242,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.42,0.23,0.39,0.04,ELECTION_YEAR,BELOW_ELECTION_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2007,f,320,372,81.89,56.77,22.55,2.57,3944,3529,140,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-1.91,-0.61,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2004,f,532,383,83.18,59.80,18.50,4.88,4318,4115,203,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,1.50,0.18,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2025,f,452,379,85.37,58.03,17.12,10.22,4617,4020,217,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.21,0.81,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2020,f,426,375,31.59,21.55,6.94,3.10,4538,3946,206,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.21,0.64,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2015,f,369,375,86.93,65.79,16.75,4.40,3856,3354,197,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-1.13,-0.79,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2002,t,89,360,89.07,64.46,17.29,7.32,3741,3564,148,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-1.64,0.13,0.54,1.37,ELECTION_YEAR,BELOW_ELECTION_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2006,t,437,535,79.83,54.70,21.23,3.90,4533,2757,183,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.24,0.69,-0.09,-1.84,ELECTION_YEAR,ABOVE_ELECTION_AVERAGE,ABOVE_AVERAGE_ACTIVITY
2026,t,318,355,85.11,59.21,16.23,9.68,589,218,154,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.40,-2.11,-2.08,-0.01,ELECTION_YEAR,BELOW_ELECTION_AVERAGE,LOW_LEGISLATIVE_ACTIVITY
2022,t,684,501,83.87,57.13,19.17,7.57,3422,2725,277,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,1.57,-0.10,-0.11,-0.44,ELECTION_YEAR,ABOVE_ELECTION_AVERAGE,NORMAL_LEGISLATIVE_ACTIVITY
2024,f,423,380,85.17,58.83,17.45,8.89,3979,3421,211,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.26,-0.53,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2011,f,431,374,87.71,60.96,22.52,4.23,3659,3325,223,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,-0.13,-1.20,0,0,MIDTERM_YEAR,BELOW_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
2013,f,483,374,88.31,64.75,19.07,4.50,3714,3128,237,387.00,392.86,185.70,439.00,3815.00,3563.43,4232.94,3211.00,2869.29,3711.22,85.14,79.11,0.71,-1.09,0,0,MIDTERM_YEAR,ABOVE_MIDTERM_AVERAGE,HIGH_LEGISLATIVE_ACTIVITY
