org,count
SoU,9661
TU,8010
MJU,7394
UbU,7323
JuU,6529
SkU,6231
KU,5529
NU,5318
SfU,4460
AU,4106
CU,3994
KrU,3721
UU,3680
FiU,3248
FöU,1815
LU,1286
BoU,824
FI,817
"",662
Finansdepartementet,486
Justitiedepartementet,349
JU,343
kamm,337
N,299
S,294
UD,194
Socialdepartementet,159
Ju,141
Näringsdepartementet,124
SKU,120
FIU,114
JUU,113
Utrikesdepartementet,94
U,81
SOU,77
Utbildningsdepartementet,76
M,72
UBU,68
SFU,64
JO,61
A,52
UFöU,50
BOU,48
KRU,48
Fö,46
Miljö- och energidepartementet,46
Försvarsdepartementet,41
Arbetsmarknadsdepartementet,40
Kulturdepartementet,35
SB,31
M  t.o.m. 1 jan-07,30
Landsbygds- och infrastrukturdepartementet,29
FÖU,27
Klimat- och näringslivsdepartementet,26
M t.o.m. -04,26
Statsrådsberedningen,23
Ku,22
L,20
U t.o.m. 1 jan-07,19
IJ,18
Miljödepartementet,13
U t.o.m. -04,13
KUD t.o.m. -04,9
Infrastrukturdepartementet,8
KUU,8
UFÖU,7
Jordbruksdepartementet,5
Miljö- och samhällsbyggnadsdepartementet,2
Utbildningsdepartementet),2
Integrations- och jämställdhetsdepartementet,1
Kru,1
Landsbygdsdepartementet,1
MjU,1
So,1
UMJU,1
USOU,1
