GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.data.impl,com.hack23.cia.service.data.impl.export,CoalitionAlignmentExportDTO.PartyAlignment,0,38,0,0,0,16,0,11,0,11
service.data.impl,com.hack23.cia.service.data.impl.export,TemporalTrendsExportDTO,0,23,0,0,0,9,0,5,0,5
service.data.impl,com.hack23.cia.service.data.impl.export,RiskAssessmentExportDTO,0,23,0,0,0,9,0,5,0,5
service.data.impl,com.hack23.cia.service.data.impl.export,TemporalTrendsExportDTO.TrendDataPoint,2,144,2,2,0,55,2,37,0,37
service.data.impl,com.hack23.cia.service.data.impl.export,CoalitionAlignmentExportDTO,0,23,0,0,0,9,0,5,0,5
service.data.impl,com.hack23.cia.service.data.impl.export,RiskAssessmentExportDTO.RiskViolation,2,88,2,2,0,31,2,21,0,21
service.data.impl,com.hack23.cia.service.data.impl.export,ExportMetadata,23,67,5,3,6,17,7,10,3,10
service.data.impl,com.hack23.cia.service.data.impl.util,SecretPGXADataSource,0,27,0,0,0,5,0,3,0,3
service.data.impl,com.hack23.cia.service.data.impl.util,SecretPGXADataSourceFactory,0,18,0,0,0,3,0,3,0,3
service.data.impl,com.hack23.cia.service.data.impl.util,SecretCredentialsManagerImpl,4,89,0,4,1,18,1,7,1,5
service.data.impl,com.hack23.cia.service.data.impl.util,LoadHelper,2,20,1,3,1,7,1,3,0,2
service.data.impl,com.hack23.cia.service.data.impl.util,SecretData,50,17,0,0,18,8,13,5,13,5
service.data.impl,com.hack23.cia.service.data.impl.util,SecretPGXADataSource.SecretReference,0,12,0,0,0,4,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,DataDAOImpl,0,91,1,3,0,17,1,3,0,2
service.data.impl,com.hack23.cia.service.data.impl,LegacyNamingStrategy,0,35,1,3,0,10,1,8,0,7
service.data.impl,com.hack23.cia.service.data.impl,UserDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,AgencyDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,EncryptedValueDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,AbstractGenericDAOImpl,208,434,11,11,41,87,15,26,8,22
service.data.impl,com.hack23.cia.service.data.impl,SwedenPoliticalPartyDAOImpl,0,8,0,0,0,3,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,QueryHelper,0,29,0,2,0,6,0,2,0,1
service.data.impl,com.hack23.cia.service.data.impl,VoteDataDAOImpl,0,48,0,0,0,10,0,3,0,3
service.data.impl,com.hack23.cia.service.data.impl,ApplicationSessionDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,LanguageDataDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,LanguageContentServiceImpl,0,40,0,2,0,8,0,3,0,2
service.data.impl,com.hack23.cia.service.data.impl,IntelligenceExportServiceImpl,13,405,5,17,2,91,5,11,0,5
service.data.impl,com.hack23.cia.service.data.impl,DocumentContentDataDAOImpl,0,51,0,2,0,14,0,4,0,3
service.data.impl,com.hack23.cia.service.data.impl,DataSearchAnalysisConfigurer,0,43,0,0,0,11,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,SearchIndexerImpl,0,11,0,0,0,4,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,ApplicationConfigurationDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,PersonDataDAOImpl,4,4,0,0,1,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,ViewRiksdagenCoalitionAlignmentMatrixDAOImpl,21,4,0,0,6,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,ViewDecisionTemporalTrendsDAOImpl,0,25,0,0,0,8,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,RemoveDataManagerImpl,0,158,0,0,0,47,0,7,0,7
service.data.impl,com.hack23.cia.service.data.impl,ViewRiksdagenPartyDAOImpl,4,4,0,0,1,2,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,RuleViolationDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,IndicatorElementDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,ViewMinistryDecisionImpactDAOImpl,6,19,0,0,1,7,0,2,0,2
service.data.impl,com.hack23.cia.service.data.impl,CountryElementDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,ApplicationActionEventDAOImpl,0,4,0,0,0,2,0,1,0,1
service.data.impl,com.hack23.cia.service.data.impl,AuditableAspectConfiguration.new CommitPropertiesProvider() {...},11,3,0,0,3,1,1,1,1,1
service.data.impl,com.hack23.cia.service.data.impl,DocumentElementDAOImpl,2,152,2,4,1,31,2,7,0,6
service.data.impl,com.hack23.cia.service.data.impl,DataViewerImpl,23,537,7,21,3,118,8,25,1,18
