value,count
SoU,11851
TU,10020
MJU,9251
UbU,8854
JuU,8360
SkU,7559
KU,6791
NU,6556
SfU,5580
CU,5308
AU,4774
UU,4532
KrU,4499
FiU,4142
FöU,2282
LU,1286
Finansdepartementet,881
"",841
BoU,824
FI,817
Justitiedepartementet,627
JU,343
kamm,335
Socialdepartementet,307
N,299
S,295
UD,194
Näringsdepartementet,177
Utrikesdepartementet,165
Utbildningsdepartementet,150
Ju,141
SKU,120
FIU,115
JUU,113
Arbetsmarknadsdepartementet,80
U,79
SOU,77
M,72
Försvarsdepartementet,69
UFöU,69
UBU,68
Landsbygds- och infrastrukturdepartementet,65
Miljö- och energidepartementet,65
SFU,64
Klimat- och näringslivsdepartementet,63
JO,61
Kulturdepartementet,61
Infrastrukturdepartementet,57
A,52
BOU,48
KRU,48
Fö,46
Statsrådsberedningen,37
Miljödepartementet,34
SB,31
M  t.o.m. 1 jan-07,30
FÖU,27
M t.o.m. -04,26
Ku,22
L,20
U t.o.m. 1 jan-07,19
IJ,18
U t.o.m. -04,13
KUD t.o.m. -04,9
KUU,8
UFÖU,7
Jordbruksdepartementet,4
Miljö- och samhällsbyggnadsdepartementet,2
CKrU,1
Integrations- och jämställdhetsdepartementet,1
Kru,1
Landsbygdsdepartementet,1
MjU,1
So,1
UMJU,1
USOU,1
Utbildningsdepartementet),1
ku,1
