value,count
"",101631
Enskild motion,63136
huvudvotering,11007
Kommittémotion,10842
föredragningslista,10755
Protokoll,9669
bet,6747
vo,5091
prop,3574
sfst,3077
Sammanträde,2197
Partimotion,1642
Flerpartimotion,1441
skr,885
COM,870
Särskilt protokoll,761
-,482
KU-anmälan,453
ou,380
Departements-PM,378
yttr,373
fs,327
Verksamhetsberättelser,290
utl,252
ap,223
Granskning,194
ip,185
se,170
ss,149
redog,124
vi,116
pd,115
Ändring,101
Kommenterad dagordning,93
st,82
ar,76
os,75
Grund,63
va,57
sf,53
zz,53
ud,48
ad,47
kompletterande,43
al,42
bu,42
pk,41
re,41
framst,40
ro,36
Övrig bilaga,36
verksamhetsberättelser,32
dv,27
Fulltext,24
sd,24
bp,21
ur,18
av,17
at,14
up,13
Omtryck,12
Fristående motion,11
Följdmotion,11
Sammanträdesplan,11
in,11
oh,11
pa,11
Uppföljningsaktivite,10
Upplev,10
Utfrågningsprotokoll,10
protokoll,10
be,9
debate,8
ko,8
JOIN,7
lista,6
Infofilm,5
URD,5
Offentligt,4
arbete,4
Dokument från Europaparlamente,2
EU-frågor,2
Register,2
Utbildningsfilm,2
ha,2
hh,2
ib,2
rd,2
tl,2
RFS-register,1
Rättelseblad,1
ST,1
Särskilt Protokoll,1
bilaga,1
bl,1
dt,1
eu,1
ub,1
