value,count
mot,77775
frs,27227
fr,26866
utskottsmöte,12498
votering,11007
ip,10675
uprotokoll,8929
bet,6998
rskr,6367
kam-vo,5091
prop,4649
eunbil,4502
"",3802
sfs,3077
sou,2899
dir,2889
prot,2327
komm,2113
f-lista,2088
fpm,1957
bilaga,1532
ds,1258
yttr,1257
t-lista,961
eu-dokument,880
eunprot,812
kusprot,760
eprotokoll,750
skrsam,690
frsrdg,629
skflista,591
ku-anm,450
kf-lista,430
sam-ou,380
vpnbeslut,373
kam-fs,327
uverkber,301
rfr,273
rir,267
kam-ap,223
rfs,202
kam-ip,185
sam-se,166
minråd,165
sam-ss,149
kal-vi,116
kam-pd,115
sam-st,82
sam-os,75
kam-ar,66
kam-va,57
kam-sf,53
kam-ud,48
kam-ad,47
kam-al,42
kam-bu,42
kal-re,41
sam-pk,41
kam-ro,36
urf,32
kam-zz,31
kam-dv,27
kam-sd,24
kal-zz,22
utskottsdokument,22
everkber,21
kam-bp,21
redaktionellt,21
kal-ur,18
eundok,17
kam-av,17
kam-at,14
kam-up,13
kal-oh,11
kam-in,11
kam-pa,11
sam-ar,10
sam-be,8
sam-debate,8
sam-ko,8
kal-se,4
kal-ib,2
kal-tl,2
kam-ha,2
kam-hh,2
kam-rd,2
reg,2
kal-be,1
kal-ub,1
kam-bl,1
kam-dt,1
kam-eu,1
